Date,Territory,Region,Category,Product,Value,Volume,Customer_Segment
17-09-2025,Mumbai,West,D,P6,3087,63,Wholesale
06-11-2025,Mumbai,North,D,P1,92235,227,Wholesale
22-04-2026,Delhi,North,A,P4,47587,346,Online
10-07-2025,Chennai,North,A,P6,28948,228,Wholesale
06-02-2026,Chennai,West,A,P2,81741,341,Retail
06-08-2025,Chennai,West,C,P2,26843,484,Wholesale
13-02-2025,Delhi,South,C,P1,91447,467,Retail
11-06-2025,Chennai,South,E,P1,8673,265,Online
21-07-2025,Delhi,South,C,P4,51555,411,Online
22-03-2026,Delhi,South,E,P5,62988,415,Wholesale
27-09-2025,Delhi,North,E,P2,48246,143,Online
17-12-2025,Bangalore,West,A,P2,33074,224,Wholesale
31-10-2025,Delhi,South,D,P5,67035,413,Online
28-09-2025,Chennai,North,A,P4,56560,265,Wholesale
01-04-2026,Bangalore,West,C,P3,32825,300,Wholesale
07-04-2026,Mumbai,West,B,P3,11976,101,Retail
03-08-2025,Mumbai,West,C,P2,35614,209,Wholesale
09-09-2025,Chennai,North,D,P3,49264,241,Retail
09-07-2025,Chennai,South,C,P4,53031,444,Wholesale
23-10-2025,Chennai,West,D,P3,14352,334,Wholesale
01-08-2025,Chennai,North,B,P1,86774,39,Wholesale
27-07-2025,Bangalore,West,B,P4,52235,179,Online
25-08-2025,Chennai,North,E,P5,75659,40,Online
04-12-2025,Delhi,South,C,P2,36392,246,Wholesale
02-01-2026,Mumbai,South,E,P4,48003,63,Online
22-02-2025,Chennai,West,A,P3,41512,134,Wholesale
07-10-2025,Delhi,South,A,P4,20333,38,Retail
14-02-2026,Chennai,South,A,P6,28978,416,Retail
05-08-2025,Delhi,North,A,P5,65687,262,Wholesale
09-09-2025,Bangalore,North,A,P6,71490,115,Retail
07-07-2025,Mumbai,West,C,P4,7217,310,Retail
15-01-2026,Mumbai,North,E,P5,47235,51,Online
10-02-2025,Bangalore,South,E,P5,83609,117,Retail
06-06-2025,Delhi,North,D,P4,69661,224,Wholesale
15-01-2025,Chennai,South,A,P2,45891,497,Online
28-10-2025,Delhi,West,B,P2,54453,98,Wholesale
06-03-2025,Mumbai,South,D,P3,94836,162,Wholesale
11-12-2025,Bangalore,North,D,P6,90280,332,Wholesale
23-11-2025,Bangalore,North,C,P4,51978,393,Retail
09-01-2025,Delhi,North,D,P6,57348,389,Retail
10-12-2025,Delhi,North,B,P6,25222,337,Online
09-05-2025,Bangalore,West,E,P4,91379,220,Wholesale
16-05-2025,Mumbai,South,D,P1,2092,370,Retail
17-04-2026,Chennai,North,C,P2,33751,61,Wholesale
04-03-2025,Chennai,South,A,P5,11271,214,Retail
19-05-2025,Delhi,West,B,P1,74860,390,Wholesale
22-03-2025,Bangalore,South,A,P4,15502,178,Wholesale
27-01-2026,Bangalore,North,D,P1,64252,32,Wholesale
12-06-2025,Bangalore,South,E,P2,74743,403,Retail
23-02-2026,Mumbai,North,C,P4,66308,372,Retail
16-10-2025,Delhi,North,B,P6,96481,58,Retail
14-01-2026,Delhi,West,E,P6,31158,48,Retail
18-09-2025,Delhi,West,B,P2,77389,109,Online
19-08-2025,Mumbai,South,C,P1,38073,273,Wholesale
10-02-2025,Delhi,South,C,P3,66010,316,Retail
28-01-2025,Chennai,North,D,P5,27832,138,Retail
15-05-2025,Delhi,North,B,P5,79349,207,Wholesale
20-07-2025,Delhi,North,D,P3,62736,50,Wholesale
24-11-2025,Delhi,North,B,P3,86871,359,Wholesale
25-09-2025,Mumbai,West,B,P3,83392,38,Retail
22-02-2026,Chennai,North,A,P2,72851,112,Online
02-02-2025,Chennai,West,D,P4,83760,469,Online
17-02-2025,Bangalore,South,B,P3,90359,168,Online
11-02-2026,Bangalore,South,B,P2,47959,131,Online
03-03-2025,Chennai,West,C,P6,27900,222,Wholesale
04-08-2025,Delhi,North,A,P1,21154,335,Online
20-10-2025,Delhi,South,C,P1,79328,347,Online
09-04-2025,Delhi,West,D,P3,50014,31,Online
21-06-2025,Mumbai,South,D,P1,83401,272,Online
26-12-2025,Delhi,North,B,P3,46990,28,Wholesale
02-08-2025,Mumbai,West,E,P1,33627,429,Wholesale
20-04-2026,Chennai,South,C,P1,82734,360,Retail
04-02-2025,Delhi,North,D,P4,59802,165,Wholesale
25-03-2026,Delhi,West,B,P4,69770,427,Online
15-08-2025,Bangalore,West,B,P1,69537,329,Retail
11-04-2025,Chennai,West,C,P4,11505,73,Retail
07-03-2026,Delhi,West,B,P3,33421,460,Wholesale
07-04-2026,Mumbai,South,A,P5,23303,412,Retail
11-05-2025,Chennai,West,E,P3,4169,327,Wholesale
14-09-2025,Bangalore,West,C,P4,16099,316,Retail
05-01-2025,Chennai,West,C,P2,5695,320,Online
06-08-2025,Mumbai,West,C,P1,14431,316,Online
12-09-2025,Bangalore,West,B,P4,11099,99,Online
02-02-2026,Mumbai,North,B,P6,79385,36,Retail
25-12-2025,Chennai,South,C,P6,88080,431,Wholesale
10-10-2025,Bangalore,North,C,P4,96278,166,Retail
28-01-2026,Mumbai,South,A,P4,86997,193,Online
26-07-2025,Chennai,West,D,P6,8937,34,Retail
15-01-2025,Mumbai,South,A,P3,73361,150,Online
12-12-2025,Delhi,West,C,P1,14827,94,Online
11-02-2025,Chennai,West,B,P5,45544,468,Wholesale
15-01-2026,Bangalore,North,B,P6,1266,179,Online
06-04-2026,Bangalore,North,C,P6,59479,200,Wholesale
28-06-2025,Delhi,North,D,P6,80724,301,Retail
04-03-2025,Mumbai,South,E,P4,97269,327,Wholesale
18-12-2025,Mumbai,South,E,P2,31298,258,Wholesale
19-08-2025,Bangalore,North,A,P6,30152,442,Online
29-08-2025,Mumbai,North,D,P1,71363,94,Online
21-02-2025,Chennai,West,E,P5,9534,396,Wholesale
06-04-2025,Chennai,South,D,P6,3808,356,Online
23-01-2026,Bangalore,West,B,P2,63536,490,Retail
10-08-2025,Chennai,South,B,P6,80674,358,Retail
11-02-2026,Bangalore,North,D,P5,4729,283,Online
19-08-2025,Mumbai,South,C,P5,61476,98,Wholesale
25-08-2025,Mumbai,South,E,P6,83922,422,Retail
23-05-2025,Mumbai,West,E,P1,66815,331,Wholesale
20-06-2025,Delhi,North,B,P3,47106,404,Retail
29-01-2025,Bangalore,North,A,P2,95498,478,Retail
05-02-2025,Chennai,North,E,P6,71644,427,Online
13-01-2025,Mumbai,West,B,P4,3069,288,Online
09-06-2025,Delhi,West,B,P5,6755,218,Wholesale
23-11-2025,Chennai,West,D,P2,91747,151,Online
06-07-2025,Chennai,South,D,P1,54702,41,Online
31-08-2025,Chennai,South,D,P2,96080,88,Online
27-03-2025,Mumbai,West,A,P4,73889,2,Retail
11-10-2025,Chennai,West,E,P4,24012,62,Wholesale
07-03-2025,Bangalore,North,A,P1,11315,233,Wholesale
19-06-2025,Delhi,South,A,P2,57812,224,Wholesale
14-02-2025,Chennai,South,D,P6,3241,120,Online
03-03-2025,Chennai,North,B,P3,72022,53,Wholesale
17-03-2026,Bangalore,North,C,P3,82041,57,Wholesale
14-05-2025,Chennai,North,B,P6,78626,48,Retail
11-10-2025,Mumbai,West,B,P5,64254,207,Wholesale
28-01-2025,Mumbai,West,B,P6,64841,134,Online
18-04-2025,Mumbai,West,B,P5,59866,400,Retail
13-02-2025,Chennai,West,A,P2,11995,395,Retail
06-12-2025,Delhi,West,D,P6,94929,109,Retail
13-10-2025,Delhi,South,D,P5,14010,302,Wholesale
22-03-2026,Chennai,South,B,P4,45327,73,Retail
27-11-2025,Delhi,South,C,P1,25425,57,Retail
08-05-2025,Delhi,North,E,P5,58511,451,Retail
14-12-2025,Chennai,South,B,P6,78032,263,Wholesale
18-04-2026,Mumbai,North,B,P3,52592,308,Retail
19-08-2025,Chennai,South,C,P6,94846,436,Wholesale
09-07-2025,Mumbai,West,A,P4,34420,30,Online
13-08-2025,Mumbai,South,B,P3,31976,55,Wholesale
20-01-2026,Delhi,West,C,P5,89395,150,Online
12-01-2026,Delhi,West,A,P6,23665,260,Online
10-10-2025,Mumbai,South,A,P5,92546,5,Online
22-03-2026,Mumbai,South,B,P4,90490,406,Retail
01-05-2025,Delhi,West,A,P3,88911,324,Wholesale
26-04-2025,Bangalore,North,B,P1,84167,360,Wholesale
06-04-2026,Mumbai,North,B,P1,32765,132,Retail
21-08-2025,Mumbai,South,D,P4,51776,171,Wholesale
16-09-2025,Mumbai,West,E,P6,49714,365,Retail
25-12-2025,Delhi,North,E,P5,82497,15,Retail
17-07-2025,Chennai,South,D,P6,85636,380,Wholesale
01-04-2026,Mumbai,South,B,P4,82053,400,Online
15-02-2026,Mumbai,West,C,P3,33138,234,Online
17-05-2025,Mumbai,North,A,P1,34592,84,Online
14-11-2025,Chennai,South,D,P5,94772,186,Retail
14-06-2025,Chennai,North,D,P3,12754,458,Online
13-08-2025,Mumbai,South,D,P1,72970,289,Retail
03-11-2025,Mumbai,South,D,P1,74343,95,Retail
22-08-2025,Bangalore,North,E,P2,98396,230,Online
21-06-2025,Chennai,North,B,P5,30920,236,Online
01-06-2025,Bangalore,West,D,P4,34082,256,Retail
08-04-2026,Mumbai,West,D,P2,15719,449,Retail
11-11-2025,Mumbai,West,D,P1,59282,281,Online
09-01-2026,Mumbai,West,C,P5,72341,293,Wholesale
09-06-2025,Mumbai,North,C,P5,20318,18,Retail
06-04-2025,Delhi,West,A,P2,93821,281,Retail
17-04-2026,Delhi,North,B,P3,7331,376,Online
21-08-2025,Delhi,South,D,P3,19921,399,Online
29-06-2025,Bangalore,North,A,P4,64607,452,Online
23-04-2025,Chennai,West,A,P5,56620,35,Retail
14-11-2025,Mumbai,North,B,P6,61558,324,Online
18-03-2026,Chennai,North,C,P2,80153,426,Wholesale
21-02-2025,Delhi,North,B,P1,69335,125,Wholesale
25-09-2025,Mumbai,North,A,P3,88763,256,Online
22-10-2025,Mumbai,North,B,P2,56769,340,Retail
21-01-2026,Bangalore,West,C,P4,49823,12,Online
22-01-2026,Chennai,North,A,P4,11199,94,Online
23-04-2025,Bangalore,West,B,P6,71562,361,Retail
11-04-2025,Delhi,South,D,P5,71649,150,Wholesale
23-04-2025,Chennai,North,D,P4,34623,420,Wholesale
16-03-2026,Delhi,South,B,P4,25601,418,Retail
22-03-2025,Bangalore,West,B,P6,73945,475,Online
06-07-2025,Bangalore,North,C,P6,45373,409,Online
23-04-2025,Mumbai,South,A,P3,9466,423,Retail
02-01-2025,Chennai,West,B,P3,70156,460,Wholesale
10-05-2025,Chennai,South,A,P4,57540,59,Retail
08-08-2025,Mumbai,North,D,P6,10127,460,Retail
23-02-2025,Chennai,North,A,P5,16166,213,Wholesale
09-12-2025,Delhi,North,E,P3,32526,434,Retail
12-08-2025,Delhi,West,C,P3,78558,61,Online
13-08-2025,Bangalore,South,C,P6,42867,161,Online
20-01-2026,Delhi,West,A,P4,94099,391,Retail
07-02-2026,Chennai,South,C,P5,45766,147,Retail
06-05-2025,Mumbai,West,A,P4,76598,472,Wholesale
10-05-2025,Bangalore,North,A,P1,36278,493,Retail
22-02-2025,Mumbai,South,D,P1,2823,148,Online
21-06-2025,Bangalore,South,A,P6,64381,133,Wholesale
06-08-2025,Bangalore,South,C,P5,22745,222,Retail
09-06-2025,Mumbai,West,E,P1,57439,115,Online
17-07-2025,Delhi,North,B,P6,57325,263,Retail
20-02-2026,Delhi,South,C,P5,31621,404,Retail
04-09-2025,Delhi,West,E,P1,69456,175,Wholesale
20-11-2025,Delhi,South,C,P2,47713,209,Retail
15-03-2026,Mumbai,North,E,P3,26232,245,Wholesale
22-07-2025,Chennai,South,C,P6,77279,98,Wholesale
03-07-2025,Bangalore,North,B,P4,57065,135,Retail
03-05-2025,Mumbai,West,D,P5,93751,459,Wholesale
05-02-2026,Delhi,West,D,P1,29470,210,Wholesale
12-09-2025,Delhi,North,B,P2,13398,478,Wholesale
21-10-2025,Mumbai,North,C,P1,51443,340,Wholesale
07-10-2025,Bangalore,West,E,P2,74099,64,Retail
21-11-2025,Mumbai,North,A,P4,70170,322,Wholesale
07-01-2026,Mumbai,North,C,P3,9239,263,Retail
08-04-2025,Chennai,South,B,P3,57998,91,Online
17-07-2025,Mumbai,West,D,P2,28344,271,Retail
15-04-2026,Chennai,West,D,P6,84433,339,Wholesale
30-01-2026,Bangalore,North,C,P1,71760,34,Wholesale
28-08-2025,Mumbai,North,E,P3,17453,322,Online
24-05-2025,Mumbai,North,B,P1,78430,412,Online
07-04-2025,Delhi,West,B,P5,73040,194,Retail
20-07-2025,Mumbai,South,E,P1,38721,267,Online
04-05-2025,Delhi,West,E,P6,62440,198,Wholesale
06-07-2025,Delhi,South,C,P5,62327,440,Retail
22-11-2025,Delhi,North,C,P5,23078,407,Wholesale
09-04-2026,Bangalore,West,D,P3,38863,494,Wholesale
15-12-2025,Chennai,South,D,P5,98338,10,Wholesale
16-09-2025,Delhi,West,E,P1,5910,481,Wholesale
28-05-2025,Mumbai,South,A,P4,98039,211,Online
09-09-2025,Mumbai,South,A,P6,87095,203,Retail
19-03-2026,Delhi,West,A,P1,87492,408,Wholesale
24-02-2026,Delhi,North,B,P2,68121,444,Wholesale
07-02-2026,Mumbai,West,C,P2,24856,376,Retail
12-12-2025,Delhi,North,E,P1,2433,92,Wholesale
27-03-2026,Chennai,South,D,P2,84933,109,Retail
27-05-2025,Chennai,South,A,P4,9554,12,Retail
28-05-2025,Bangalore,West,D,P2,2299,121,Online
18-12-2025,Delhi,West,C,P3,51404,220,Retail
18-07-2025,Bangalore,North,E,P4,58676,375,Retail
04-11-2025,Bangalore,North,A,P3,95791,5,Retail
21-02-2026,Bangalore,West,A,P3,56775,275,Wholesale
28-02-2026,Delhi,North,E,P4,20921,328,Retail
08-05-2025,Bangalore,North,D,P6,45012,236,Retail
08-02-2025,Chennai,West,C,P3,42640,37,Online
04-12-2025,Bangalore,West,C,P2,72037,28,Online
26-12-2025,Chennai,South,C,P1,68850,300,Online
09-05-2025,Chennai,South,D,P4,76318,171,Online
24-09-2025,Delhi,West,D,P1,78029,197,Retail
21-04-2026,Bangalore,South,A,P4,75730,328,Wholesale
17-03-2026,Delhi,North,D,P4,46614,240,Wholesale
18-04-2026,Chennai,West,B,P3,24422,216,Wholesale
10-03-2026,Mumbai,South,E,P1,37941,120,Online
31-05-2025,Bangalore,West,D,P6,28495,276,Online
19-02-2026,Delhi,South,C,P2,84828,355,Retail
23-04-2026,Mumbai,West,D,P1,66896,134,Online
25-10-2025,Bangalore,North,A,P4,47870,325,Retail
09-04-2025,Bangalore,South,E,P2,91172,458,Retail
20-09-2025,Delhi,West,E,P3,54254,373,Wholesale
09-09-2025,Mumbai,North,C,P2,18678,220,Online
24-05-2025,Delhi,South,E,P2,61238,128,Online
12-12-2025,Bangalore,South,B,P1,54768,268,Retail
22-04-2025,Bangalore,West,E,P4,99516,117,Wholesale
01-03-2025,Chennai,North,C,P4,10380,399,Retail
04-01-2026,Bangalore,West,E,P4,40738,451,Retail
02-01-2025,Bangalore,South,D,P5,26243,87,Retail
20-01-2026,Mumbai,West,A,P3,93523,63,Online
31-10-2025,Mumbai,West,D,P1,44022,373,Online
11-09-2025,Chennai,North,B,P4,86109,420,Online
20-05-2025,Chennai,North,B,P2,70719,7,Wholesale
29-03-2026,Chennai,South,A,P5,55787,257,Online
06-02-2025,Delhi,North,A,P3,50902,328,Wholesale
09-06-2025,Delhi,West,A,P4,16473,219,Wholesale
09-01-2025,Chennai,South,A,P5,36042,433,Online
21-08-2025,Delhi,North,E,P3,78454,150,Online
09-04-2025,Bangalore,West,D,P6,51419,308,Wholesale
27-05-2025,Chennai,West,B,P6,83340,351,Online
31-10-2025,Chennai,South,E,P2,78825,43,Retail
27-07-2025,Delhi,South,A,P5,35151,295,Wholesale
11-05-2025,Mumbai,North,C,P1,63075,203,Online
08-02-2026,Chennai,North,C,P3,13100,171,Wholesale
01-06-2025,Delhi,North,D,P5,6590,438,Wholesale
23-02-2025,Delhi,North,B,P5,88752,149,Online
30-04-2025,Mumbai,South,B,P3,30251,117,Online
10-06-2025,Chennai,West,D,P5,33914,15,Wholesale
12-02-2026,Mumbai,West,A,P5,63727,348,Online
26-04-2025,Bangalore,North,A,P3,16134,166,Online
16-03-2025,Mumbai,South,B,P2,13045,379,Wholesale
23-04-2025,Mumbai,North,B,P6,16388,279,Retail
01-04-2026,Delhi,North,B,P1,49740,91,Online
24-02-2026,Mumbai,South,A,P3,33187,211,Retail
26-02-2026,Bangalore,West,C,P4,98627,237,Retail
14-04-2025,Delhi,West,D,P5,37652,336,Retail
06-12-2025,Bangalore,North,D,P1,67889,204,Retail
11-09-2025,Mumbai,South,E,P1,22557,307,Online
15-08-2025,Bangalore,West,E,P3,70420,279,Retail
22-04-2025,Bangalore,West,C,P4,9962,179,Wholesale
18-04-2026,Mumbai,South,B,P4,35891,455,Online
09-04-2025,Mumbai,South,C,P2,77067,370,Online
02-06-2025,Delhi,West,E,P4,37229,248,Retail
15-12-2025,Delhi,North,E,P6,96179,46,Online
06-02-2026,Chennai,North,D,P3,84693,249,Retail
19-01-2026,Delhi,West,C,P1,95248,238,Retail
01-01-2026,Mumbai,North,A,P1,47919,246,Online
04-12-2025,Bangalore,North,E,P4,17296,94,Wholesale
13-07-2025,Bangalore,South,D,P5,51892,317,Online
06-11-2025,Delhi,South,B,P6,21925,400,Online
12-06-2025,Delhi,South,C,P2,97362,370,Online
27-07-2025,Mumbai,North,E,P4,50544,60,Wholesale
21-03-2026,Bangalore,South,A,P6,92785,416,Online
18-06-2025,Chennai,South,E,P3,17424,169,Online
10-06-2025,Chennai,West,A,P2,41628,444,Online
09-03-2025,Delhi,South,C,P6,63467,405,Online
16-10-2025,Chennai,West,A,P4,17944,254,Online
02-02-2026,Mumbai,North,A,P2,79921,452,Wholesale
04-10-2025,Chennai,South,D,P5,76823,7,Online
31-10-2025,Delhi,West,C,P3,59979,475,Online
08-02-2026,Mumbai,West,E,P4,56784,235,Retail
19-01-2026,Bangalore,West,B,P1,13737,326,Online
27-01-2026,Mumbai,North,C,P3,63226,276,Retail
15-05-2025,Delhi,South,C,P5,65199,172,Online
14-07-2025,Delhi,North,B,P6,57025,300,Online
05-02-2026,Chennai,West,E,P5,20069,140,Online
08-05-2025,Chennai,North,D,P1,53914,59,Retail
02-02-2025,Bangalore,North,E,P3,7371,462,Wholesale
25-06-2025,Bangalore,West,B,P4,3314,234,Wholesale
05-04-2026,Delhi,South,E,P1,4835,162,Wholesale
19-03-2026,Delhi,South,C,P4,36260,244,Online
06-01-2026,Delhi,North,D,P2,64185,300,Wholesale
15-04-2026,Bangalore,South,A,P4,79992,81,Wholesale
10-01-2026,Delhi,West,E,P2,3632,296,Retail
22-01-2025,Bangalore,South,A,P4,35383,468,Wholesale
26-08-2025,Delhi,North,D,P2,34799,130,Online
07-06-2025,Mumbai,West,A,P3,84112,189,Online
07-02-2025,Mumbai,West,E,P5,96129,21,Online
18-08-2025,Delhi,West,B,P3,48108,140,Retail
31-12-2025,Mumbai,North,C,P1,64812,252,Online
20-02-2025,Bangalore,North,C,P3,85119,461,Retail
14-03-2026,Chennai,South,A,P3,63797,449,Online
21-09-2025,Mumbai,North,C,P5,50532,466,Online
10-10-2025,Chennai,West,C,P6,8587,78,Retail
27-01-2025,Mumbai,North,B,P3,12224,223,Wholesale
14-08-2025,Bangalore,North,A,P1,73592,88,Retail
04-10-2025,Mumbai,South,B,P3,21223,140,Retail
13-10-2025,Mumbai,West,B,P3,63917,308,Online
07-04-2025,Delhi,South,D,P3,2350,217,Retail
11-10-2025,Chennai,South,A,P3,92565,228,Retail
02-01-2026,Chennai,South,B,P5,71222,14,Online
24-03-2026,Bangalore,West,E,P5,48685,402,Online
29-03-2026,Bangalore,South,C,P1,16647,152,Wholesale
13-11-2025,Chennai,West,A,P6,20515,154,Retail
31-10-2025,Delhi,South,D,P1,34919,478,Wholesale
27-05-2025,Delhi,South,B,P1,92518,445,Wholesale
04-01-2025,Chennai,West,E,P6,67729,196,Wholesale
04-02-2025,Mumbai,North,C,P3,17935,64,Online
11-07-2025,Chennai,South,C,P6,75778,168,Retail
18-02-2025,Mumbai,North,E,P4,98895,157,Wholesale
17-01-2025,Chennai,South,A,P3,40356,146,Online
21-06-2025,Mumbai,North,C,P4,82534,196,Online
08-08-2025,Delhi,North,C,P1,96164,315,Retail
07-06-2025,Chennai,North,C,P3,56247,123,Wholesale
22-04-2026,Bangalore,North,B,P6,20763,97,Online
15-02-2025,Mumbai,North,B,P6,60110,440,Wholesale
08-01-2026,Delhi,West,C,P6,22887,486,Retail
06-01-2025,Bangalore,North,D,P6,34020,365,Wholesale
09-04-2025,Delhi,West,C,P1,65321,66,Online
15-01-2026,Mumbai,South,A,P5,38851,371,Wholesale
21-08-2025,Chennai,West,D,P1,40558,268,Online
06-02-2025,Delhi,North,A,P3,91290,278,Wholesale
07-10-2025,Chennai,West,E,P5,31078,446,Retail
15-12-2025,Chennai,North,E,P6,64089,410,Retail
29-10-2025,Delhi,West,B,P5,42216,142,Online
30-06-2025,Delhi,South,B,P4,14777,265,Retail
05-04-2025,Delhi,North,B,P2,79580,202,Retail
09-04-2025,Chennai,North,E,P5,11928,263,Wholesale
07-07-2025,Bangalore,West,A,P2,73211,361,Wholesale
26-04-2025,Mumbai,West,D,P1,97610,431,Wholesale
10-07-2025,Bangalore,West,B,P1,64217,186,Wholesale
10-09-2025,Chennai,West,E,P5,17359,276,Wholesale
14-04-2026,Delhi,West,B,P4,90688,79,Retail
20-02-2026,Delhi,North,C,P1,80330,440,Retail
16-04-2026,Mumbai,South,D,P2,73463,427,Online
10-06-2025,Mumbai,West,A,P5,73367,370,Wholesale
13-09-2025,Bangalore,North,B,P5,4039,354,Online
19-11-2025,Bangalore,South,C,P4,69918,444,Wholesale
08-05-2025,Mumbai,South,C,P5,91859,180,Wholesale
18-01-2025,Chennai,West,D,P3,41603,115,Retail
08-10-2025,Bangalore,North,E,P2,11952,216,Wholesale
11-08-2025,Delhi,North,E,P6,64185,194,Wholesale
23-02-2025,Delhi,North,B,P3,36478,20,Retail
27-02-2025,Chennai,North,B,P3,19876,397,Wholesale
19-11-2025,Mumbai,North,E,P2,33863,281,Retail
26-12-2025,Bangalore,South,A,P5,30386,121,Wholesale
23-06-2025,Delhi,South,A,P5,66779,36,Retail
07-10-2025,Mumbai,South,C,P3,29284,3,Online
24-04-2025,Bangalore,North,D,P6,75265,47,Wholesale
15-10-2025,Chennai,South,A,P2,94578,140,Online
07-03-2026,Delhi,South,B,P1,5371,188,Wholesale
08-12-2025,Chennai,West,A,P2,68371,225,Wholesale
31-05-2025,Chennai,South,D,P6,4857,284,Online
26-03-2026,Chennai,West,B,P3,41035,75,Online
